"gid","totalDiamonds","gtype","type","style"
"1","89820","0","0","0"
"2","14200","0","0","0"
"3","5655","0","0","0"
"4","1255","0","0","0"
"5","2930","0","0","0"
"6","2640","0","0","0"
"7","2070","0","0","0"
"8","197901","0","0","0"
"9","289080","0","0","0"
"10","17997","0","0","0"
"11","3644","0","0","0"
"12","9926","0","0","0"
"13","666","0","0","0"
"16","1196","0","0","0"
"17","2415","0","0","0"
"19","8360","0","0","0"
"20","88400","0","0","0"
"21","1419","0","0","0"
"22","599","0","0","0"
"23","299997","0","0","0"
"24","1115","0","0","0"
"25","596000","0","0","0"
"27","855","0","0","0"
"30","859","0","1","0"
"31","720","0","1","0"
"32","2090","0","1","0"
"34","8320","0","1","0"
"40","3116","0","0","1"
"41","83","0","0","1"
"42","20","0","0","1"
"43","80","0","0","1"
"44","120","0","0","1"
"45","10","0","0","1"
"46","39980","0","0","1"
"47","78840","0","0","1"
"48","41993","0","0","1"
"49","386","0","0","1"
"50","1000","0","0","1"
"51","666","0","0","1"
"52","299","0","0","1"
"53","10","0","0","1"
"55","264","0","0","1"
"56","27560","0","0","1"
"60","105","0","0","1"
"61","254000","0","0","1"
"63","10","0","0","1"
"66","20","0","1","1"
"67","5","0","1","1"
"68","330","0","1","1"
"69","88","0","1","1"
"70","3120","0","1","1"
"76","121896","0","0","0"
"77","6742","0","0","1"
"78","13390","0","0","0"
"79","7770","0","0","1"
"80","22500","0","0","0"
"81","7100","0","0","1"
"82","600","0","0","1"